Declined Noun,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
abellana:nomsg,"f,I,nom,sg","f,I,gen,pl","f,I,gen,pl","f,I,nom,sg","f,I,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg"
abellana:gensg,"f,I,gen,sg","f,I,gen,pl","f,I,nom,pl","f,I,nom,sg","f,I,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg"
abellana:accsg,"f,I,acc,sg","f,I,gen,pl","f,I,nom,sg","f,I,nom,sg","f,I,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg"
abellana:nompl,"f,I,nom,pl","f,I,gen,pl","f,I,nom,pl","f,I,nom,sg","f,I,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg"
abellana:genpl,"f,I,gen,pl","f,I,gen,pl","f,I,gen,pl","f,III,nom,pl","m,III,gen,pl","m,III,nom,pl","m,III,nom,pl","m,III,gen,pl","m,III,nom,pl","m,III,nom,pl","m,III,nom,pl","m,III,nom,pl","m,III,nom,pl","m,III,nom,pl","m,III,nom,pl","m,III,nom,pl"
abellana:accpl,"f,I,acc,pl","f,I,gen,pl","f,I,nom,pl","f,I,nom,sg","f,I,nom,sg","f,III,nom,sg","m,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg"
abyssus:nomsg,"f,II,nom,sg","m,III,nom,sg","m,II,nom,sg","m,II,nom,sg","f,I,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg"
abyssus:gensg,"f,II,gen,sg","m,II,gen,sg","m,II,gen,sg","f,I,nom,sg","f,I,nom,sg","f,I,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg"
abyssus:accsg,"f,II,acc,sg","m,II,gen,sg","m,II,gen,sg","m,II,nom,sg","f,I,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg"
abyssus:nompl,"f,II,nom,pl","m,II,gen,sg","m,II,gen,sg","f,I,nom,sg","f,I,nom,sg","f,I,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg"
abyssus:genpl,"f,II,gen,pl","m,II,gen,pl","m,II,gen,pl","m,III,gen,pl","m,III,gen,pl","m,III,gen,pl","m,III,gen,pl","m,III,gen,pl","m,III,nom,pl","m,III,nom,pl","m,III,nom,pl","f,III,nom,sg","m,III,nom,pl","m,III,nom,pl","m,III,nom,pl","m,III,nom,pl"
abyssus:accpl,"f,II,acc,pl","m,III,nom,pl","m,II,gen,sg","m,III,nom,sg","f,III,nom,pl","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","m,III,nom,pl","f,III,nom,sg"
acetum:nomsg,"n,II,nom,sg","m,II,gen,sg","f,III,nom,sg","f,I,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg"
acetum:gensg,"n,II,gen,sg","m,II,nom,sg","f,I,nom,sg","f,I,nom,sg","f,I,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg"
acetum:accsg,"n,II,acc,sg","m,II,gen,sg","f,III,nom,sg","f,I,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg"
acetum:nompl,"n,II,nom,pl","f,I,nom,sg","f,I,nom,sg","f,I,nom,sg","f,I,nom,sg","f,I,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg"
acetum:genpl,"n,II,gen,pl","m,II,gen,pl","f,III,gen,pl","m,III,gen,pl","f,III,gen,pl","m,III,gen,pl","m,III,gen,pl","m,III,gen,pl","f,III,nom,pl","m,III,nom,pl","m,III,nom,pl","f,III,nom,sg","m,III,nom,pl","m,III,nom,pl","m,III,nom,sg","m,III,nom,pl"
acetum:accpl,"n,II,acc,pl","f,I,nom,sg","f,I,nom,sg","f,I,nom,sg","f,I,nom,sg","f,I,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg"
acus:nomsg,"f,IV,nom,sg","m,II,nom,sg","m,III,nom,sg","m,III,nom,sg","m,III,nom,sg","m,III,nom,sg","m,III,nom,sg","m,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg"
acus:gensg,"f,IV,gen,sg","m,II,gen,sg","f,III,nom,sg","m,II,nom,sg","m,III,nom,sg","m,III,nom,sg","m,III,nom,sg","m,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg"
acus:accsg,"f,IV,acc,sg","m,II,gen,sg","m,II,nom,sg","m,II,nom,sg","m,III,nom,sg","m,III,nom,sg","m,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg"
acus:nompl,"f,IV,nom,pl","m,II,gen,sg","f,III,nom,sg","m,II,nom,sg","m,III,nom,sg","m,III,nom,sg","m,III,nom,sg","m,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg"
acus:genpl,"f,IV,gen,pl","m,II,gen,sg","f,II,gen,pl","m,III,gen,pl","m,III,gen,pl","m,III,nom,pl","m,III,gen,pl","m,III,gen,pl","m,III,nom,pl","m,III,nom,pl","m,III,nom,pl","m,III,nom,pl","m,III,nom,pl","m,III,nom,pl","f,III,nom,sg","m,III,nom,pl"
acus:accpl,"f,IV,acc,pl","m,II,gen,sg","f,III,nom,sg","m,II,nom,sg","m,III,nom,sg","m,III,nom,sg","m,III,nom,sg","m,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg"
ador:nomsg,"n,III,nom,sg","m,II,gen,pl","m,III,nom,sg","m,III,nom,sg","m,III,nom,sg","m,III,nom,sg","m,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg","f,III,nom,sg"
